"dtime per 30 days","Downstream LUL"
"2011-12-22","1,338.028"
"2012-01-21","1,444.847"
"2012-02-20","1,380.341"
"2012-03-21","1,316.748"
"2012-04-20","1,247.911"
"2012-05-20","1,278.05"
"2012-06-19","1,249.747"
"2012-07-19","1,224.177"
"2012-08-18","1,243.267"
"2012-09-17","1,259.315"
"2012-10-17","1,276.542"
"2012-11-16","1,258.24"
"2012-12-16","1,258.852"
"2013-01-15","1,275.936"
"2013-02-14","1,278.442"
"2013-03-16","1,267.411"
"2013-04-15","1,199.506"
"2013-05-15","1,175.57"
"2013-06-14","1,156.516"
"2013-07-14","1,190.242"
"2013-08-13","1,178.976"
"2013-09-12","1,198.902"
"2013-10-12","1,149.208"
"2013-11-11","1,094.338"
"2013-12-11","1,070.484"
"2014-01-10","1,111.81"
"2014-02-09","1,101.821"
"2014-03-11","1,121.938"
"2014-04-10","1,119.755"
"2014-05-10","1,098.07"
"2014-06-09","1,140.9"
"2014-07-09","1,131.144"
"2014-08-08","1,195.369"
"2014-09-07","1,360.503"
"2014-10-07","1,342.399"
"2014-11-06","1,387.041"
"2014-12-06","1,385.359"
"2015-01-05","1,428.737"
"2015-02-04","1,400.656"
"2015-03-06","1,438.495"
"2015-04-05","1,331.45"
"2015-05-05","1,330.27"
"2015-06-04","1,269.136"
"2015-07-04","1,281.271"
"2015-08-03","1,276.084"
"2015-09-02","1,184.887"
"2015-10-02","1,144.658"
"2015-11-01","1,175.017"
"2015-12-01","1,116.521"
"2015-12-31","1,027.551"
"2016-01-30","999.939"
"2016-02-29","990.621"
"2016-03-30","960.896"
"2016-04-29","959.944"
"2016-05-29","955.447"
"2016-06-28","975.554"
"2016-07-28","1,174.706"
"2016-08-27","1,407.007"
"2016-09-26","1,357.145"
"2016-10-26","1,333.187"
"2016-11-25","1,344.404"
"2016-12-25","1,417.982"
"2017-01-24","1,440.76"
"2017-02-23","1,384.167"
"2017-03-25","1,420.623"
"2017-04-24","1,384.8"
"2017-05-24","1,261.851"
"2017-06-23","1,303.625"
"2017-07-23","1,249.818"
"2017-08-22","1,251.692"
"2017-09-21","1,232.608"
"2017-10-21","1,189.288"
"2017-11-20","1,186.053"
"2017-12-20","1,125.731"
"2018-01-19","1,092.714"
"2018-02-18","1,102.158"
"2018-03-20","1,077.106"
"2018-04-19","1,059.248"
"2018-05-19","1,060.569"
"2018-06-18","1,139.779"
"2018-07-18","1,357.935"
"2018-08-17","1,320.477"
"2018-09-16","1,271.693"
"2018-10-16","1,232.74"
"2018-11-15","1,209.528"
"2018-12-15","1,223.119"
"2019-01-14","1,236.032"
"2019-02-13","1,260.429"
"2019-03-15","1,232.375"
"2019-04-14","1,241.916"
"2019-05-14","1,102.343"
"2019-06-13","1,087.348"
"2019-07-13","1,080.574"
"2019-08-12","1,020.124"
"2019-09-11","1,057.745"
"2019-10-11","1,055.686"
"2019-11-10","970.068"
"2019-12-10","947.169"
"2020-01-09","925.214"
"2020-02-08","931.999"
"2020-03-09","912.525"
"2020-04-08","935.284"
"2020-05-08","898.959"
"2020-06-07","865.022"
"2020-07-07","849.602"
"2020-08-06","825.179"
"2020-09-05",null
"2020-10-05","801.799"
"2020-11-04","822.786"
"2020-12-04","830.743"
"2021-01-03","808.218"
"2021-02-02","789.675"
"2021-03-04","752.366"
"2021-04-03","747.479"
"2021-05-03","729.861"
"2021-06-02","744.54"
"2021-07-02","751.804"
"2021-08-01","719.145"
"2021-08-31","682.466"
"2021-09-30","669.704"
"2021-10-30","729.782"
"2021-11-29","777.573"
"2021-12-29","789.939"
"2022-01-28","766.455"
"2022-02-27","764.662"
"2022-03-29","731.037"
"2022-04-28","745.39"
"2022-05-28","734.117"
"2022-06-27","732.251"
"2022-07-27","712.82"
"2022-08-26","698.041"
"2022-09-25",null
"2022-10-25","664.273"
"2022-11-24","662.908"
"2022-12-24","669.529"
"2023-01-23","660.419"
"2023-02-22","641.33"
"2023-03-24","541.959"
"2023-04-23","479.017"
"2023-05-23","498.623"
"2023-06-22","480.918"
"2023-07-22","479.439"
